hr,alt_name,ra_ysb,dec_ysb,vmag,bv_color,parallax_ysb,ra_simbad,dec_simbad,parallax_simbad,iau_name,origin,note,source,constellation_common_name,constellation_alt_name,asterism
HR1,,1.2912,45.2292,6.7,0.07,,1.29065945264,45.22903077561,6.3137,,,,,,,
HR10,,1.8258,-17.3864,6.19,0.14,,1.826107653,-16.6130074559,9.7179,,,,,,,
HR100,Kap Phe,6.5508,-43.68,3.94,0.17,0.072,6.550838931848333,-42.32016934125556,41.7228,,,,,Phoenix,Phe,
HR1000,60    Ari,50.1067,25.6628,6.12,1.24,,50.10653325953,25.66275662771,9.6938,,,,,Aries,Ari,
HR1001,,50.4692,49.0708,5.93,0.43,0.015,50.4688873932,49.07090494516,22.7733,,,,,,,
HR1002,32    Per,50.3604,43.3294,4.95,0.04,0.026,50.3606615005,43.32965086794,20.9522,,,,,Perseus,Per,
HR1003,16Tau4Eri,49.8792,-21.7578,3.69,1.62,-0.013,49.87916936539666,-20.24213460301028,10.6153,,,,,Eridanus,Eri,
HR1004,,49.895,-24.1231,5.61,1.66,,49.895444595239994,-23.877098272359998,3.7583,,,,,,,
HR1005,61Tau1Ari,50.3067,21.1469,5.28,-0.07,,50.30676927082833,21.14706637635833,6.1786,,,,,Aries,Ari,
HR1006,Zet1Ret,49.4425,-62.5753,5.54,0.64,0.097,49.44234772895417,-61.42467987315444,83.024,,,,,Reticulum,Ret,
HR1007,97Kap2Cet,50.2783,3.6756,5.69,0.97,,50.27834658121,3.67562259203,8.821,,,,,Cetus,Cet,
HR1008,,49.9821,-43.0697,4.27,0.71,0.156,49.9818788009275,-42.930218003214996,165.5242,,,,,,,
HR1009,,51.1688,64.5861,5.23,2.08,0.009,51.16898632479,64.58599440748,1.6385,,,,,,,
HR101,10    Cet,6.6558,-0.0497,6.19,0.9,,6.655896080000001,0.04953118222222222,7.23,,,,,Cetus,Cet,
HR1010,Zet2Ret,49.5537,-62.5064,5.24,0.6,0.091,49.55341201004875,-61.49363758026889,83.0606,,,,,Reticulum,Ret,
HR1011,,50.805,49.2133,5.29,-0.07,,50.804987736,49.21327078277,5.6817,,,,,,,
HR1012,62    Ari,50.5496,27.6075,5.52,1.1,,50.5495559739,27.60755427903,4.692,,,,,Aries,Ari,
HR1013,,50.1883,-26.6064,6.39,0.54,,50.18834845068,-25.39349204465,20.1522,,,,,,,
HR1014,,49.4958,-66.9269,6.05,0.13,,49.49614519691,-65.07314797193999,16.6526,,,,,,,
HR1015,63Tau2Ari,50.6883,20.7419,5.09,1.24,0.008,50.68850556107834,20.742067186762778,9.7639,,,,,Aries,Ari,
HR1016,,50.35,-23.6353,5.52,0.88,,50.35002012817,-22.36484323791,8.0143,,,,,,,
HR1017,33Alp Per,51.0808,49.8611,1.79,0.48,0.016,51.08070871833333,49.86117929305556,6.44,Mirfak,,,,Perseus,Per,
HR1018,,50.5679,-25.5878,6.35,0.01,,50.56785884649,-24.4121951903,9.0074,,,,,,,
HR1019,,51.1237,33.5358,5.61,-0.03,,51.123762143360004,33.53592986884,8.9395,,,,,,,
HR102,,6.8113,-25.5472,5.98,1.03,,6.811281520710001,-24.45282653639,5.3195,,,,,,,
HR1020,,51.4517,53.9217,6.51,0.29,,51.44957254559,53.921524803649994,12.1809,,,,,,,
HR1021,,50.3887,-47.7769,6.39,1.0,,50.38930665349,-46.22333852886,7.0499,,,,,,,
HR1022,64    Ari,51.0771,24.7242,5.5,1.19,,51.07699080221,24.72409580905,14.9909,,,,,Aries,Ari,
HR1023,,50.9129,4.8819,6.38,0.86,,50.91245661777,4.88210286588,3.0262,,,,,,,
HR1024,,50.8242,-7.7942,6.2,0.7,0.034,50.82375484193,-6.2059012870400005,26.7913,,,,,,,
HR1025,Iot Hyi,48.99,-77.3883,5.52,0.44,,48.99027386037,-76.61154598302,34.2638,,,,,Hydrus,Hyi,
HR1026,,51.2892,41.2572,6.51,,,51.28911053674,41.25729917947,5.5752,,,,,,,
HR1027,65    Ari,51.1087,20.8036,6.08,-0.04,,51.10881548237,20.80349045638,9.6813,,,,,Aries,Ari,
HR1028,,51.0421,12.6294,6.04,1.23,,51.04220274468,12.629592486770001,6.6027,,,,,,,
HR1029,,51.4892,49.1208,6.09,-0.07,,51.48909185855,49.12075830155,6.0959,,,,,,,
HR103,47    Psc,7.0121,17.8931,5.06,1.65,0.016,7.01214483873,17.89312704868,6.0025,,,,,Pisces,Psc,
HR1030,1Omi Tau,51.2033,9.0289,3.6,0.89,0.016,51.20332632709,9.028869620010001,15.0788,,,,,Taurus,Tau,
HR1031,,50.9358,-32.7072,6.5,1.37,,50.93591952622,-31.292912716620002,4.5574,,,,,,,
HR1032,,52.5812,71.8639,6.32,1.8,,52.58082519095,71.86389716785,3.2525,,,,,,,
HR1033,,52.0983,60.2556,6.49,0.02,0.006,52.09829477625,60.25567525138889,5.59,,,,,,,
HR1034,,52.0129,49.0628,4.98,-0.09,,52.01279483428,49.062868278859995,5.6775,,,,,,,
HR1035,,52.2671,59.9403,4.21,0.41,,52.2672203734,59.94033365683,1.0527,,,,,,,
HR1036,,51.7633,18.7564,6.57,0.15,,51.76347850135001,18.75654400996,7.8859,,,,,,,
HR1037,,52.2183,49.8483,5.58,-0.04,,52.2180329655,49.848385563,5.786,,,,,,,
HR1038,2Xi  Tau,51.7925,9.7328,3.74,-0.09,-0.017,51.79225241356001,9.7327419509,16.7914,,,,,Taurus,Tau,
HR1039,,51.8279,12.735,6.28,-0.02,,51.82781576496,12.73528327573,9.5418,,,,,,,
HR104,,7.0571,44.3944,5.17,0.03,0.013,7.056955604960001,44.39446929221,12.7377,,,,,,,
HR1040,,52.4787,58.8786,4.54,0.56,,52.47809835038,58.87874913344,0.9303,,,,,,,
HR1041,,52.0867,33.8075,5.61,0.02,,52.08625238775001,33.80755759108,9.3697,,,,,,,
HR1042,Chi1For,51.4825,-35.9208,6.39,0.08,,51.48267483778999,-34.079114546030006,9.6154,,,,,Fornax,For,
HR1043,,52.5471,59.3661,6.13,0.08,0.004,52.54561279166666,59.36595066666667,10.51,,,,,,,
HR1044,34    Per,52.3421,49.5089,4.67,-0.09,0.018,52.34187290056292,49.508952951000275,5.7184,,,,,Perseus,Per,
HR1045,,51.5938,-27.3175,5.93,0.94,,51.593853612660006,-26.682520222650002,7.1792,,,,,,,
HR1046,,52.5008,55.4519,5.09,0.05,0.025,52.50076173757,55.45180724146,16.7393,,,,,,,
HR1047,,52.3592,46.9378,6.24,0.13,,52.359526945489996,46.937866163219994,6.0801,,,,,,,
HR1048,66    Ari,52.1108,22.8042,6.03,0.95,,52.110697799060006,22.8040093102,14.1629,,,,,Aries,Ari,
HR1049,,51.5488,-41.6369,6.32,0.06,,51.549100082180004,-40.36306077436,8.0571,,,,,,,
HR105,Eta Scl,6.9821,-33.0072,4.81,1.64,-0.014,6.982074255730001,-32.99283403287,5.8984,,,,,Sculptor,Scl,
HR1050,,52.0042,-11.2867,5.73,1.1,,52.00394513333,-10.71340264669,10.3181,,,,,,,
HR1051,,52.6542,48.1036,5.82,-0.04,,52.653967224060004,48.10360374735,5.6158,,,,,,,
HR1052,35Sig Per,52.6437,47.9953,4.36,1.35,0.004,52.64368902509,47.9952163484,9.506,,,,,Perseus,Per,
HR1053,,51.0104,-69.6247,6.15,0.48,,51.00963725755,-68.37539564674,5.2186,,,,,,,
HR1054,Chi2For,51.8892,-35.6814,5.71,1.29,,51.88925497043,-34.31867423309,6.8558,,,,,Fornax,For,
HR1055,,53.8017,73.3469,6.57,0.03,,53.80129900051,73.34692425008,6.0155,,,,,,,
HR1056,,52.8725,49.2097,6.29,0.09,,52.872251473249996,49.2097726804,7.5117,,,,,,,
HR1057,NOVA 1901,52.79917,43.90472,,,,52.80004119305,43.90429720867,2.3063,,,,,,,
HR1058,Chi3For,52.0479,-35.8533,6.5,0.13,,52.04802092653,-34.146573317859996,9.6543,,,,,Fornax,For,
HR1059,,52.9546,49.4008,6.39,0.09,,52.954328945760004,49.40109419611,2.0413,,,,,,,
HR106,48    Psc,7.0529,16.445,6.06,1.58,,7.05292874946,16.44506825224,3.0731,,,,,Pisces,Psc,
HR1060,,52.4129,-6.805,5.99,1.02,,52.41307248574,-5.1955452300600005,8.6949,,,,,,,
HR1061,4    Tau,52.6021,11.3364,5.14,-0.03,0.002,52.60195333272333,11.336439403954722,8.747,,,,,Taurus,Tau,
HR1062,,52.4,-12.6747,5.59,0.17,,52.40011665907,-11.32526431285,6.9814,,,,,,,
HR1063,,53.0358,48.0236,5.47,-0.1,,53.03586841582,48.02348015241,5.6378,,,,,,,
HR1064,,51.4008,-69.3364,5.96,0.42,,51.401053222849995,-68.66356560726001,25.2484,,,,,,,
HR1065,,52.8367,27.5719,5.96,,0.009,52.836471976069994,27.57180713737,9.7103,,,,,,,
HR1066,5    Tau,52.7183,12.9367,4.11,1.12,-0.012,52.71823990313,12.93666963977,9.6907,,,,,Taurus,Tau,
HR1067,,52.6892,6.1886,5.94,0.96,,52.68925064357,6.1887046659700005,6.4165,,,,,,,
HR1068,,53.3838,58.765,6.4,0.14,0.009,53.384195786629995,58.76524327367,10.6428,,,,,,,
HR1069,36    Per,53.1096,46.0569,5.31,0.4,0.031,53.109413603069996,46.056861557379996,27.0579,,,,,Perseus,Per,
HR107,,7.0837,10.1897,6.04,0.43,0.033,7.08351034109,10.189804906700001,26.2526,,,,,,,
HR1070,17    Eri,52.6546,-5.0753,4.73,-0.09,,52.65440929166667,-4.924854476666667,8.07,,,,,Eridanus,Eri,
HR1071,,53.4217,57.8689,6.37,0.51,,53.42183738025,57.86873003563,14.647,,,,,,,
HR1072,,53.1629,44.8556,6.41,0.03,,53.16240704976,44.85575965988,1.839,,,,,,,
HR1073,,53.4125,54.9747,5.98,0.11,,53.41274999104,54.97486028608,13.1723,,,,,,,
HR1074,,53.1667,35.4617,5.9,-0.06,,53.16672926351,35.46172430421,2.4065,,,,,,,
HR1075,,52.4792,-42.6342,5.78,0.22,,52.47978034404,-41.36574476207,14.9046,,,,,,,
HR1076,,52.5567,-41.37,6.12,0.48,,52.5565821571,-40.63006302834,28.804,,,,,,,
HR1077,,53.7533,60.0411,6.46,0.39,0.021,53.754211166666664,60.04143222222222,18.74,,,,,,,
HR1078,,53.3963,39.8994,5.81,0.11,,53.395975484919994,39.8994768417,17.7106,,,,,,,
HR1079,6    Tau,53.15,9.3736,5.77,-0.08,,53.14976389956,9.37344998326,8.9915,,,,,Taurus,Tau,
HR108,,7.0879,-20.335,6.43,0.59,0.034,7.087897833333334,-19.664950722222223,31.06,,,,,,,
HR1080,,54.8533,75.7397,6.27,0.97,,54.85451485021,75.73962185772,7.5193,,,,,,,
HR1081,,52.6542,-47.3753,5.99,0.11,,52.65397501117,-46.62487523566,8.3368,,,,,,,
HR1082,,52.9746,-25.6142,6.38,0.12,,52.97352920947,-24.38584999969,14.3501,,,,,,,
HR1083,Kap Ret,52.3446,-62.9375,4.72,0.4,0.06,52.344489252691254,-61.0624710606625,45.9103,,,,,Reticulum,Ret,
HR1084,18Eps Eri,53.2325,-9.4583,3.73,0.88,0.303,53.23268537982792,-8.541739029481946,310.5773,Ran,2015 NameExoWorlds,"Ran is the Norse goddess of the sea, who stirs up the waves and captures sailors with her net.",https://www.nameexoworlds.iau.org/2015edition,Eridanus,Eri,
HR1085,,53.5346,17.8328,6.17,0.89,0.022,53.534908663703746,17.83282842045472,23.8593,,,,,,,
HR1086,7    Tau,53.6108,24.4644,5.92,0.13,0.006,53.610946,24.464397055555555,7.6,,,,,Taurus,Tau,
HR1087,37Psi Per,54.1225,48.1928,4.23,-0.06,,54.12241555310417,48.19263455720194,5.9635,,,,,Perseus,Per,
HR1088,19Tau5Eri,53.4471,-21.6328,4.27,-0.11,,53.44698288227083,-20.36711552308722,10.1913,,,,,Eridanus,Eri,
HR1089,,53.705,6.4178,6.49,0.63,,53.704508542659994,6.41769458392,6.9463,,,,,,,
HR109,,7.11,-39.915,5.43,1.56,0.015,7.11050545208,-38.08500077824,7.4208,,,,,,,
HR1090,,53.145,-50.3786,5.68,1.1,,53.145010210989994,-49.62135469376,10.4594,,,,,,,
HR1091,,53.6558,-9.8686,6.25,0.02,,53.65613074743333,-8.131740925285,8.4292,,,,,,,
HR1092,,52.715,-66.4897,5.83,-0.06,,52.71544952956,-65.51028815724,4.1151,,,,,,,
HR1093,,53.4867,-31.0803,6.2,0.48,0.024,53.4866320429,-30.91987289986,23.7697,,,,,,,
HR1094,,54.5821,56.9328,6.3,-0.13,,54.58222289971,56.932715386059996,7.2882,,,,,,,
HR1095,,53.6396,-31.8747,6.4,1.4,,53.63995628089208,-30.125198345724446,2.8972,,,,,,,
HR1096,,53.215,-61.0169,6.41,1.04,,53.21481965151,-60.98312742564,7.2739,,,,,,,
HR1097,,54.5008,42.5831,6.42,-0.06,,54.50075951002,42.58284337882,5.3215,,,,,,,
HR1098,,53.9904,-11.1936,5.57,0.91,,53.9902781405,-10.8062149057,9.8706,,,,,,,
HR1099,,54.1971,0.5878,5.71,0.92,0.032,54.19704345503042,0.5877621366672222,33.9783,,,,,,,
HR11,,1.9338,-2.5489,6.43,-0.14,,1.9337965309200003,-1.4513198477700002,4.5742,,,,,,,
HR110,,7.2358,36.9,6.26,0.92,,7.2360955124499995,36.89969333799,5.4234,,,,,,,
HR1100,20    Eri,54.0725,-17.4669,5.23,-0.13,0.014,54.072517123000004,-16.53292435889,8.5009,,,,,Eridanus,Eri,
HR1101,10    Tau,54.2183,0.4017,4.28,0.58,0.054,54.21826543507,0.4016644716191667,71.837,,,,,Taurus,Tau,
HR1102,,54.4492,15.4308,6.39,0.17,,54.44929363659,15.430554290969999,14.2778,,,,,,,
HR1103,,54.7504,20.9158,6.5,0.15,,54.750244066899995,20.91577334134,7.8441,,,,,,,
HR1104,,53.6029,-65.7644,6.75,0.17,,53.60344444715,-64.23577323087,8.2688,,,,,,,
HR1105,,55.5387,63.2167,5.1,1.63,0.002,55.53885630981001,63.21679683066,4.2671,,,,,,,
HR1106,,54.2738,-40.2747,4.58,1.04,0.011,54.27365848581,-39.7253396638,13.2285,,,,,,,
HR1107,,62.5062,86.6261,5.86,0.37,0.022,62.50685141645,86.62613898951999,23.7256,,,,,,,
HR1108,,54.6217,-7.3917,5.85,0.98,,54.62188673588,-6.60813857469,8.0227,,,,,,,
HR1109,,52.495,-78.3519,5.7,0.93,,52.49538752376,-77.64814905914001,9.8072,,,,,,,
HR111,,7.1796,-50.5328,6.26,1.09,,7.17969307133,-49.46714298563,8.4969,,,,,,,
HR1110,,54.8571,16.5367,6.16,1.0,,54.85730596654,16.53668861842,8.7619,,,,,,,
