name,alt_name,ra,dec,bv_color,parallax
HR 1,,114.44465,-16.87863,0.07,
HR 10,,74.35752,-75.90193,0.14,
HR 100,Kap Phe,318.41547,-72.68157,0.17,0.072
HR 1000,60    Ari,160.36872,-26.1741,1.24,
HR 1001,,146.67231,-6.74108,0.43,0.015
HR 1002,32    Per,149.80618,-11.57877,0.04,0.026
HR 1003,16Tau4Eri,212.08878,-55.99557,1.62,-0.013
HR 1004,,216.21466,-56.59089,1.66,
HR 1005,61Tau1Ari,163.65732,-29.63621,-0.07,
HR 1006,Zet1Ret,279.0961,-47.21406,0.64,0.097
HR 1007,97Kap2Cet,178.32291,-42.54399,0.97,
HR 1008,,250.74595,-56.07673,0.71,0.156
HR 1009,,138.46084,6.43974,2.08,0.009
HR 101,10    Cet,109.50166,-62.27264,0.9,
HR 1010,Zet2Ret,278.96973,-47.21692,0.6,0.091
HR 1011,,146.77843,-6.50139,-0.07,
HR 1012,62    Ari,159.43162,-24.37949,1.1,
HR 1013,,220.74567,-56.82106,0.54,
HR 1014,,283.83297,-44.37818,0.13,
HR 1015,63Tau2Ari,164.26898,-29.72922,1.24,0.008
HR 1016,,215.53563,-56.07191,0.88,
HR 1017,33Alp Per,146.56874,-5.86247,0.48,0.016
HR 1018,,219.03821,-56.30279,0.01,
HR 1019,,156.08982,-19.30245,-0.03,
HR 102,,47.83567,-84.35454,1.03,
HR 1020,,144.50237,-2.35618,0.29,
HR 1021,,258.3958,-54.28999,1,
HR 1022,64    Ari,161.78251,-26.38628,1.19,
HR 1023,,177.71613,-41.25881,0.86,
HR 1024,,191.80802,-49.20163,0.7,0.034
HR 1025,Iot Hyi,293.6543,-37.00834,0.44,
HR 1026,,151.57655,-12.91023,,
HR 1027,65    Ari,164.57503,-29.43346,-0.04,
HR 1028,,170.8687,-35.658,1.23,
HR 1029,,147.2046,-6.33009,-0.07,
HR 103,47    Psc,115.10298,-44.62281,1.65,0.016
HR 1030,1Omi Tau,174.11779,-38.15652,0.89,0.016
HR 1031,,231.9505,-56.70918,1.37,
HR 1032,,134.69886,12.7237,1.8,
HR 1033,,141.24971,3.09078,0.02,0.006
HR 1034,,147.52273,-6.18528,-0.09,
HR 1035,,141.49756,2.8781,0.41,
HR 1036,,166.63679,-30.60989,0.15,
HR 1037,,147.18638,-5.46218,-0.04,
HR 1038,2Xi  Tau,174.01591,-37.24718,-0.09,-0.017
HR 1039,,171.46943,-35.05896,-0.02,
HR 104,,118.56876,-18.28063,0.03,0.013
HR 1040,,142.18869,2.06444,0.56,
HR 1041,,156.60546,-18.61087,0.02,
HR 1042,Chi1For,237.73738,-56.16053,0.08,
HR 1043,,141.94028,2.48549,0.08,0.004
HR 1044,34    Per,147.44628,-5.69606,-0.09,0.018
HR 1045,,222.36961,-55.69785,0.94,
HR 1046,,144.14441,-0.7496,0.05,0.025
HR 1047,,148.9315,-7.80214,0.13,
HR 1048,66    Ari,163.95405,-27.29585,0.95,
HR 1049,,247.78277,-55.29964,0.06,
HR 105,Eta Scl,342.36043,-82.22934,1.64,-0.014
HR 1050,,197.35206,-50.00755,1.1,
HR 1051,,148.42337,-6.73222,-0.04,
HR 1052,35Sig Per,148.48013,-6.82496,1.35,0.004
HR 1053,,286.06698,-42.15416,0.48,
HR 1054,Chi2For,237.27236,-55.84667,1.29,
HR 1055,,134.09813,14.13466,0.03,
HR 1056,,147.90305,-5.74393,0.09,
HR 1057,NOVA 1901,150.95519,-10.10415,,
HR 1058,Chi3For,237.56375,-55.70784,0.13,
HR 1059,,147.83653,-5.55684,0.09,
