hr,alt_name,ra,dec,bv_color,parallax
1,,1.2912,45.2292,0.07,
2,,1.2658,-0.5031,1.1,
3,33    Psc,1.3338,-5.7075,1.04,0.014
4,86    Peg,1.425,13.3961,0.9,
5,,1.5667,58.4367,0.67,0.047
6,,1.5792,-49.075,0.52,0.05
7,10    Cas,1.6104,64.1961,-0.03,
8,,1.6533,29.0214,0.75,0.067
9,,1.7088,-23.1075,0.38,
10,,1.8258,-17.3864,0.14,
11,,1.9338,-2.5489,-0.14,
12,,1.945,-22.5089,0.14,
13,,2.0146,-33.5294,1.12,
14,,2.0504,-2.4478,1.38,
15,21Alp And,2.0971,29.0906,-0.11,0.032
16,,2.0725,-8.8239,1.04,
17,,2.1708,36.6267,0.48,0.044
18,,2.1392,-17.5775,1.67,
19,,2.2175,25.4628,0.97,
20,,2.3342,79.7147,0.19,0.002
21,11Bet Cas,2.2946,59.1497,0.34,0.072
22,87    Peg,2.26,18.2119,1.04,
23,,2.26,-54.0019,0.74,0.009
24,Kap1Scl,2.3375,-27.9878,0.42,0.023
25,Eps Phe,2.3529,-45.7475,1.03,0.066
26,34    Psc,2.5096,11.1456,-0.07,0.017
27,22    And,2.5804,46.0722,0.4,-0.002
28,,2.6237,57.1656,-0.08,
29,,2.5783,-5.2486,0.98,
30,Gam3Oct,2.5087,-82.2239,1.05,
31,,2.6783,-12.58,1.01,
32,,2.6608,-73.2244,0.37,
33,6    Cet,2.8163,-15.4681,0.49,0.067
34,Kap2Scl,2.8933,-27.7997,1.34,
35,The Scl,2.9333,-35.1331,0.44,0.034
36,,2.9962,48.1525,1.45,
37,,3.0417,-17.9383,1.48,-0.015
38,,3.21,37.6933,-0.13,
39,88Gam Peg,3.3092,15.1836,-0.23,-0.002
40,,3.35,26.9872,0.65,0.006
41,23    And,3.3783,41.0353,0.31,0.024
42,,3.4254,-26.0219,1.55,
43,,3.4342,-26.2847,1.48,
44,,3.5096,33.2061,-0.01,
45,89Chi Peg,3.6508,20.2067,1.57,0.015
46,,3.615,-7.7806,1.62,0.003
47,,3.3308,-84.9942,1.72,
48,7    Cet,3.66,-18.9328,1.66,0.029
49,,3.7338,22.2842,-0.01,
50,35    Psc,3.745,8.8208,0.31,0.017
51,,3.7271,-9.5697,-0.08,
52,,3.7792,31.5358,,
53,,3.7942,27.2831,-0.02,
54,,3.7425,-34.9044,1.34,
55,,4.0583,76.9508,-0.07,0.013
56,,4.09,43.5947,0.05,
57,,4.0371,-31.4464,1.35,
58,,3.98,-75.9114,1,
59,36    Psc,4.1421,8.24,0.92,
60,,4.2379,61.5333,0.88,
61,,4.1771,-20.2106,-0.09,
62,,4.2879,47.9475,-0.09,
63,24The And,4.2729,38.6817,0.06,0.022
64,,4.2042,-78.7806,0.46,
65,,4.4292,51.4331,-0.13,
66,,4.3858,-19.0511,0.37,
