hr,ra,dec,parallax
HR     1,00 05 09.7582686336,+45 13 44.510792196,6.3137 
HR     2,00 05 03.8227507152,-00 30 10.928616408,6.9277 
HR     3,00 05 20.1411719640,-05 42 27.431698821,23.5152 
HR     4,00 05 41.9616132456,+13 23 46.565281644,8.526 
HR     5,00 06 15.81412,+58 26 12.2207,46.56 
HR     6,00 06 19.1753245111,-49 04 30.671249608,38.1945 
HR     7,00 06 26.5373262768,+64 11 46.168691820,3.407 
HR     8,00 06 36.7840068588,+29 01 17.412693890,72.6419 
HR     9,00 06 50.0863238088,-23 06 27.145662264,25.1628 
HR    10,00 07 18.2658367200,-17 23 13.173158760,9.7179 
HR    11,00 07 44.1111674208,-02 32 55.248548028,4.5742 
HR    12,00 07 46.8995868600,-22 30 30.805174800,11.6897 
HR    13,00 08 03.4868999832,-33 31 45.568976952,10.2706 
HR    14,00 08 12.0955513656,-02 26 51.740585628,2.7677 
HR    15,00 08 23.25988,+29 05 25.5520,33.62 
HR    16,00 08 17.5324307736,-08 49 26.801843988,9.0115 
HR    17,00 08 40.9385785968,+36 37 37.652234016,30.6686 
HR    18,00 08 33.4969448208,-17 34 41.358090108,2.3085 
HR    19,00 08 52.1360129832,+25 27 46.745620092,7.2951 
HR    20,00 09 20.17441,+79 42 52.3636,9.48 
HR    21,00 09 10.68518,+59 08 59.2120,59.58 
HR    22,00 09 02.4247431528,+18 12 43.074790956,10.8284 
HR    23,00 09 02.3930869080,-54 00 07.038806868,4.9525 
HR    24,00 09 21.06696,-27 59 16.5322,12.91 
HR    25,00 09 24.6400933968,-45 44 50.726069376,22.6081 
HR    26,00 10 02.2030016064,+11 08 44.936910060,11.0592 
HR    27,00 10 19.2465938,+46 04 20.180005,2.65 
HR    28,00 10 29.6754479323,+57 09 55.711615191,5.3209 
HR    29,00 10 18.8712067968,-05 14 54.916966860,17.0711 
HR    30,00 10 02.1724904616,-82 13 26.569490088,12.3535 
HR    31,00 10 42.8341071816,-12 34 47.633650356,13.729 
HR    32,00 10 38.5673131503,-73 13 27.734708594,13.8976 
HR    33,00 11 15.8580395472,-15 28 04.720468404,52.9489 
HR    34,00 11 34.4207187216,-27 47 58.990819164,5.7132 
HR    35,00 11 44.0210769384,-35 07 59.212953084,46.0425 
HR    36,00 11 59.0850984672,+48 09 08.631507168,5.2168 
HR    37,00 12 09.9845643792,-17 56 17.702925108,4.397 
HR    38,00 12 50.2449532560,+37 41 37.165885188,1.5246 
HR    39,00 13 14.1523484686,+15 11 00.954349220,6.9474 
HR    40,00 13 23.9129710719,+26 59 14.981407429,18.6899 
HR    41,00 13 30.8399867400,+41 02 07.335805740,26.8715 
HR    42,00 13 42.2441779080,-26 01 20.464886712,3.5412 
HR    43,00 13 44.3788672008,-26 17 05.865259956,4.1049 
HR    44,00 14 02.2788797880,+33 12 21.748924548,9.9868 
HR    45,00 14 36.1642825005,+20 12 24.130377664,9.4052 
HR    46,00 14 27.6290894,-07 46 49.898505,5.60 
HR    47,00 13 19.6218796392,-84 59 38.317855128,3.8517 
HR    48,00 14 38.4165523,-18 55 58.314488,7.29 
HR    49,00 14 55.8983946240,+22 17 03.212768184,7.1992 
HR    50,00 14 58.8403601616,+08 49 15.460771944,13.5903 
HR    51,00 14 54.5154816240,-09 34 10.427208456,9.19 
HR    52,00 15 06.9506860320,+31 32 08.613186576,3.5637 
HR    53,00 15 10.5647634408,+27 17 00.388406220,7.2189 
HR    54,00 14 58.2617231904,-34 54 15.202152108,5.4262 
HR    55,00 16 13.94032,+76 57 02.7122,5.20 
HR    56,00 16 21.5288994600,+43 35 42.183374100,10.2349 
HR    57,00 16 08.8667217600,-31 26 47.007367656,7.3333 
HR    58,00 15 54.8963546760,-75 54 41.813975880,5.2551 
HR    59,00 16 34.0418564136,+08 14 24.566106696,7.3453 
HR    60,00 16 57.0431385504,+61 31 59.468659896,4.8081 
HR    61,00 16 42.3422667816,-20 12 36.220794696,5.4878 
HR    62,00 17 09.0440331312,+47 56 50.661966660,2.8487 
HR    63,00 17 05.5023632446,+38 40 53.888625622,18.8747 
HR    64,00 16 48.3782304768,-78 46 48.545084748,9.0 
HR    65,00 17 43.0633133256,+51 25 59.116450728,0.7546 
HR    66,00 17 32.7030499488,-19 03 03.937463784,20.405 
HR    67,00 17 47.6985124032,+01 41 19.427084376,8.8131 
HR    68,00 18 19.6573687726,+36 47 06.808541679,23.2542 
HR    69,00 18 17.2458866304,+11 12 22.375558548,8.5557 
HR    70,00 18 42.1688838792,+43 47 28.108208148,5.3927 
HR    71,00 18 38.2580881944,+31 31 02.021912184,6.6475 
HR    72,00 18 41.8676757921,-08 03 10.803829898,42.7308 
HR    73,00 18 42.5609037192,-43 14 08.048643504,7.3296 
HR    74,00 19 25.6743948847,-08 49 26.108975369,11.6996 
HR    75,00 19 41.5594359024,+40 43 46.072706088,6.06 
HR    76,00 20 05.1661061352,+48 51 55.615971024,3.5297 
HR    77,00 20 04.2586334956,-64 52 29.257190108,116.1826 
HR    78,00 20 24.4013490312,+30 56 08.209202064,5.9025 
HR    79,00 20 45.5169107040,+32 54 40.272404904,4.4798 
HR    80,00 20 35.8620291720,+08 11 24.978138072,7.0581 
HR    81,00 20 54.59048,+10 58 36.8483,3.22 
HR    82,00 21 07.2687391968,+37 58 06.979645056,19.9513 
HR    83,00 20 39.0422278704,-69 37 29.707462920,10.0847 
HR    84,00 21 31.1982576576,-28 58 53.292742896,9.5724 
HR    85,00 21 46.2726376677,-20 03 28.888739999,3.9694 
HR    86,00 22 25.4829050232,+13 28 56.958491316,5.5453 
HR    87,00 21 28.7722407648,-77 25 36.774202008,4.0262 
HR    88,00 22 51.7884553555,-12 12 33.969921319,46.8742 
HR    89,00 23 12.6093196608,-31 02 08.778859512,5.6578 
HR    90,00 24 01.9457463096,+38 34 37.370144352,2.6444 
HR    91,00 24 15.6540035976,+52 01 11.703208404,2.4621 
HR    92,00 25 21.5,+64 08 27,~ 
HR    93,00 24 47.5054725480,+61 49 51.808098288,3.8102 
HR    94,00 24 29.6495706120,-02 13 08.626882188,5.8433 
HR    95,00 24 05.359,-72 04 53.20,0.232 
HR    96,00 25 06.4104962808,+53 02 48.414792012,5.0585 
HR    97,00 25 24.2083631904,+01 56 22.892930016,5.491 
HR    98,00 25 45.07036,-77 15 15.2860,134.07 
HR    99,00 26 17.05140,-42 18 21.5539,38.50 
HR   100,00 26 12.2013436436,-43 40 47.390371480,41.7228 
HR   101,00 26 37.4150592,-00 02 58.312256,7.23 
HR   102,00 27 14.7075649704,-25 32 49.824468996,5.3195 
HR   103,00 28 02.9147612952,+17 53 35.257375248,6.0025 
HR   104,00 28 13.6693451904,+44 23 40.089451956,12.7377 
HR   105,00 27 55.6978213752,-33 00 25.797481668,5.8984 
HR   106,00 28 12.7028998704,+16 26 42.245708064,3.0731 
HR   107,00 28 20.0424818616,+10 11 23.297664120,26.2526 
HR   108,00 28 21.09548,-20 20 06.1774,31.06 
HR   109,00 28 26.5213084992,-39 54 53.997198336,7.4208 
HR   110,00 28 56.6629229880,+36 53 58.896016764,5.4234 
HR   111,00 28 43.1263371192,-50 31 58.285251732,8.4969 
HR   112,00 30 55.0787717183,+77 01 09.857050884,26.1414 
HR   113,00 30 19.9344223392,+59 58 39.189476856,3.2021 
HR   114,00 30 07.3651144632,+29 45 05.608065024,16.0963 
HR   115,00 29 51.8970081864,-14 51 50.792078448,23.4821 
HR   116,00 29 49.0020708768,-32 06 57.527255628,4.5451 
HR   117,00 30 02.3584197912,-03 57 26.377933896,5.7713 
HR   118,00 30 22.6550793792,-23 47 15.653410224,18.5351 
HR   119,00 30 27.8252358240,-40 56 22.504091136,7.4361 
HR   120,00 30 26.0632693104,-48 12 53.355477672,19.5006 
HR   121,00 31 25.2291503064,+66 31 10.621018128,3.8917 
HR   122,00 31 25.6378600944,+33 34 53.891674248,8.5954 
HR   123,00 31 46.3593467,+54 31 20.225689,8.64 
