,hr,alt_name,ra,dec,vmag,bv_color,parallax,parallax_simbad
0,1,nan,1.2912,45.2292,6.7,0.07,,6.3137
1,2,nan,1.2658,-0.5031,6.29,1.1,,6.9277
2,3,33    Psc,1.3338,-5.7075,4.61,1.04,0.014,23.5152
3,4,86    Peg,1.425,13.3961,5.51,0.9,,8.526
4,5,nan,1.5667,58.4367,5.96,0.67,0.047,46.56
5,6,nan,1.5792,-49.075,5.7,0.52,0.05,38.1945
6,7,10    Cas,1.6104,64.1961,5.59,-0.03,,3.407
7,8,nan,1.6533,29.0214,6.13,0.75,0.067,72.6419
8,9,nan,1.7088,-23.1075,6.18,0.38,,25.1628
9,10,nan,1.8258,-17.3864,6.19,0.14,,9.7179
10,11,nan,1.9338,-2.5489,6.43,-0.14,,4.5742
11,12,nan,1.945,-22.5089,5.94,0.14,,11.6897
12,13,nan,2.0146,-33.5294,5.68,1.12,,10.2706
13,14,nan,2.0504,-2.4478,6.07,1.38,,2.7677
14,15,21Alp And,2.0971,29.0906,2.06,-0.11,0.032,33.62
15,16,nan,2.0725,-8.8239,5.99,1.04,,9.0115
16,17,nan,2.1708,36.6267,6.19,0.48,0.044,30.6686
17,18,nan,2.1392,-17.5775,6.06,1.67,,2.3085
18,19,nan,2.2175,25.4628,6.23,0.97,,7.2951
19,20,nan,2.3342,79.7147,6.01,0.19,0.002,9.48
20,21,11Bet Cas,2.2946,59.1497,2.27,0.34,0.072,59.58
21,22,87    Peg,2.26,18.2119,5.53,1.04,,10.8284
22,23,nan,2.26,-54.0019,6.33,0.74,0.009,4.9525
23,24,Kap1Scl,2.3375,-27.9878,5.42,0.42,0.023,12.91
24,25,Eps Phe,2.3529,-45.7475,3.88,1.03,0.066,22.6081
25,26,34    Psc,2.5096,11.1456,5.51,-0.07,0.017,11.0592
26,27,22    And,2.5804,46.0722,5.03,0.4,-0.002,2.65
27,28,nan,2.6237,57.1656,6.74,-0.08,,5.3209
28,29,nan,2.5783,-5.2486,5.84,0.98,,17.0711
29,30,Gam3Oct,2.5087,-82.2239,5.28,1.05,,12.3535
30,31,nan,2.6783,-12.58,5.85,1.01,,13.729
31,32,nan,2.6608,-73.2244,6.64,0.37,,13.8976
32,33,6    Cet,2.8163,-15.4681,4.89,0.49,0.067,52.9489
33,34,Kap2Scl,2.8933,-27.7997,5.41,1.34,,5.7132
34,35,The Scl,2.9333,-35.1331,5.25,0.44,0.034,46.0425
35,36,nan,2.9962,48.1525,6.16,1.45,,5.2168
36,37,nan,3.0417,-17.9383,5.25,1.48,-0.015,4.397
37,38,nan,3.21,37.6933,6.73,-0.13,,1.5246
38,39,88Gam Peg,3.3092,15.1836,2.83,-0.23,-0.002,6.9474
39,40,nan,3.35,26.9872,6.3,0.65,0.006,18.6899
40,41,23    And,3.3783,41.0353,5.72,0.31,0.024,26.8715
41,42,nan,3.4254,-26.0219,5.94,1.55,,3.5412
42,43,nan,3.4342,-26.2847,6.31,1.48,,4.1049
43,44,nan,3.5096,33.2061,6.25,-0.01,,9.9868
